WindSpeed(m/s),ActivePower(kW),Theoretical_Power_Curve (KWh),Loss_Value(kW),Loss(%),count
3.5,52.19166666666667,68.93916666666668,16.745833333333334,23.584166666666665,56.25
4.0,97.75666666666667,127.68666666666668,29.92916666666667,23.646666666666665,144.66666666666666
4.5,183.6016666666667,221.93,38.3275,17.488333333333333,149.5
5.0,286.59083333333336,336.4266666666667,49.835,14.9375,143.75
5.5,400.39250000000015,470.0908333333333,69.69916666666667,14.838333333333333,167.66666666666666
6.0,548.2166666666667,622.9283333333334,74.7125,12.106666666666667,184.66666666666663
6.5,719.57,808.2458333333334,88.67666666666668,11.009166666666665,189.5
7.0,910.6116666666667,1013.4425,102.83083333333332,10.285833333333334,193.3333333333333
7.5,1134.3558333333333,1257.2808333333335,122.9225,9.780833333333334,187.8333333333333
8.0,1395.9416666666666,1524.9983333333332,129.0575,8.423333333333336,178.41666666666663
8.5,1647.8016666666665,1827.9925000000005,180.1916666666667,9.774166666666666,160.58333333333334
9.0,1899.1291666666666,2141.4925,242.3625,11.296666666666665,143.58333333333334
9.5,2164.2191666666668,2456.9016666666657,292.6825,11.921666666666665,133.0
10.0,2378.2425000000007,2791.8241666666668,413.5825,14.806666666666667,128.25
10.5,2615.128181818182,3062.4081818181817,447.2790909090909,14.65181818181818,141.1818181818182
11.0,2843.168333333333,3268.9425,425.77583333333337,13.024166666666664,117.16666666666669
11.5,3039.6900000000005,3418.2499999999995,378.5600000000002,11.072499999999998,112.58333333333331
12.0,3099.3833333333337,3520.643333333334,421.26,11.95,101.5
12.5,3338.547272727272,3578.4445454545453,239.89545454545447,6.704545454545454,102.8181818181818
13.0,3413.0641666666656,3598.024166666666,184.9608333333333,5.14,79.66666666666667
13.5,3415.297,3600.0,184.702,5.1309999999999985,77.8
14.0,3471.989,3600.0,128.01100000000002,3.555,59.1
14.5,3482.742222222222,3600.0,117.2577777777778,3.2577777777777777,57.444444444444436
15.0,3515.9820000000013,3600.0,84.01799999999999,2.3330000000000006,45.4
15.5,3542.981000000001,3600.0,57.01899999999999,1.584,37.4
16.0,3557.236,3600.0,42.763999999999996,1.1880000000000002,35.4
16.5,3443.775,3600.0,156.22500000000005,4.338750000000001,34.25
17.0,3536.2466666666674,3600.0,63.75333333333333,1.7699999999999998,38.0
17.5,3339.9420000000005,3600.0,260.06,7.221999999999999,44.2
18.0,3562.6749999999993,3600.0,37.325,1.0383333333333329,35.166666666666664
18.5,3557.304,3600.0,42.69600000000001,1.186,40.6
19.0,3565.450000000001,3600.0,34.550000000000004,0.9566666666666668,56.66666666666666
19.5,3573.3033333333333,3600.0,26.696666666666665,0.7399999999999999,55.33333333333334
20.0,3570.13,3600.0,29.87,0.8300000000000001,53.0
20.5,3563.59,3600.0,36.41,1.01,43.5
21.0,3573.276666666666,3600.0,26.72333333333333,0.7433333333333333,15.666666666666664
21.5,3559.475,3600.0,40.525,1.125,10.0
22.0,3572.365,3600.0,27.635,0.77,11.0
22.5,3599.61,3600.0,0.39,0.010000000000000002,4.0
23.0,3601.48,3600.0,-1.48,-0.04,9.5
23.5,3601.335,3600.0,-1.335,-0.04,4.5
24.0,3601.32,3600.0,-1.3199999999999998,-0.04,5.0
24.5,3602.02,3600.0,-2.02,-0.06,1.0
25.0,3600.78,3600.0,-0.78,-0.02,1.0
